"panel","criterion_id","panel_value_weight"
"A","D1","0.09866666666666668"
"A","D10","0.09799999999999999"
"A","D2","0.088000000000000009"
"A","D3","0.1466666666666667"
"A","D4","0.10400000000000001"
"A","D5","0.12400000000000001"
"A","D6","0.089333333333333348"
"A","D7","0.11533333333333336"
"A","D8","0.06933333333333333"
"A","D9","0.06666666666666668"
"B","D1","0.083333333333333343"
"B","D10","0.097333333333333341"
"B","D2","0.099333333333333329"
"B","D3","0.13000000000000003"
"B","D4","0.10466666666666669"
"B","D5","0.11533333333333334"
"B","D6","0.090666666666666673"
"B","D7","0.11333333333333334"
"B","D8","0.087333333333333346"
"B","D9","0.078666666666666676"
