analysis,panel,scenario,lambda_objective,alternative_id,spotis_D0,spotis_D_lower,spotis_D_upper,rank,necessary_outdegree,possible_outdegree
primary_ddcdw,A,A_primary_ddcdw,0.5,A1,0.37941352797393757,0.36899660327091222,0.38720291533406515,2,2,3
primary_ddcdw,A,A_primary_ddcdw,0.5,A2,0.43684629617069048,0.43122609300463061,0.44145078845722269,4,1,1
primary_ddcdw,A,A_primary_ddcdw,0.5,A3,0.50350378612798408,0.4854999851722368,0.51718461334574273,5,0,0
primary_ddcdw,A,A_primary_ddcdw,0.5,A4,0.391824753188877,0.38478264336151646,0.39805082206774056,3,2,3
primary_ddcdw,A,A_primary_ddcdw,0.5,A5,0.33986440370313176,0.33542631413940688,0.34364982887725626,1,4,4
primary_ddcdw,B,B_primary_ddcdw,0.5,A1,0.40084639031768798,0.39194837597101351,0.40694491877455319,3,2,3
primary_ddcdw,B,B_primary_ddcdw,0.5,A2,0.45557928710771189,0.44829632724523333,0.46150808615982292,4,1,1
primary_ddcdw,B,B_primary_ddcdw,0.5,A3,0.55880676371978455,0.54386183948494338,0.57016606580315266,5,0,0
primary_ddcdw,B,B_primary_ddcdw,0.5,A4,0.39073212864702467,0.37940162471562688,0.40014928925947274,2,2,3
primary_ddcdw,B,B_primary_ddcdw,0.5,A5,0.33499027088725858,0.32577951954824297,0.34274433360352197,1,4,4
first_encounter_explanation_ddcdw,A,A_first_encounter_explanation_ddcdw,0.5,A1,0.34277040208816756,0.33368977920375509,0.3500374373270011,1,4,4
first_encounter_explanation_ddcdw,A,A_first_encounter_explanation_ddcdw,0.5,A2,0.37675159309497969,0.36962348855679317,0.38268328286262426,3,1,2
first_encounter_explanation_ddcdw,A,A_first_encounter_explanation_ddcdw,0.5,A3,0.52794196895712819,0.50790250812698967,0.54310960938521391,5,0,0
first_encounter_explanation_ddcdw,A,A_first_encounter_explanation_ddcdw,0.5,A4,0.38412347100061678,0.3771774613434834,0.38992255290278399,4,1,2
first_encounter_explanation_ddcdw,A,A_first_encounter_explanation_ddcdw,0.5,A5,0.35972119049447626,0.35478676474237902,0.36378510418099241,2,3,3
first_encounter_explanation_ddcdw,B,B_first_encounter_explanation_ddcdw,0.5,A1,0.36454048911958259,0.35723238472789909,0.3695847552850815,2,3,4
first_encounter_explanation_ddcdw,B,B_first_encounter_explanation_ddcdw,0.5,A2,0.40739960004785247,0.40053792526761756,0.41332341548196122,4,1,1
first_encounter_explanation_ddcdw,B,B_first_encounter_explanation_ddcdw,0.5,A3,0.57972950247453969,0.56316698821438793,0.59211151074712642,5,0,0
first_encounter_explanation_ddcdw,B,B_first_encounter_explanation_ddcdw,0.5,A4,0.39101865201209085,0.37958942305253218,0.40043314085014736,3,2,2
first_encounter_explanation_ddcdw,B,B_first_encounter_explanation_ddcdw,0.5,A5,0.35164843448944638,0.34149160666439599,0.3601230228135342,1,3,4
logistic_grouped_pfi,A,A_logistic_grouped_pfi,0.5,A1,0.37588552200261927,0.36623086759683787,0.38324912373440356,2,2,3
logistic_grouped_pfi,A,A_logistic_grouped_pfi,0.5,A2,0.4318224682264466,0.42554704297295043,0.43677731340832338,4,1,1
logistic_grouped_pfi,A,A_logistic_grouped_pfi,0.5,A3,0.498945822377309,0.48119288159825996,0.51245674930903418,5,0,0
logistic_grouped_pfi,A,A_logistic_grouped_pfi,0.5,A4,0.38913806016068508,0.38254857978412143,0.39495886195653485,3,2,3
logistic_grouped_pfi,A,A_logistic_grouped_pfi,0.5,A5,0.3417095649929156,0.33723329794074686,0.34550592698498289,1,4,4
logistic_grouped_pfi,B,B_logistic_grouped_pfi,0.5,A1,0.39929017279440643,0.39072347070583469,0.40511161820465247,3,2,3
logistic_grouped_pfi,B,B_logistic_grouped_pfi,0.5,A2,0.45234687645459992,0.44394585845459578,0.45902546793218646,4,1,1
logistic_grouped_pfi,B,B_logistic_grouped_pfi,0.5,A3,0.55877204616467879,0.54392113221499061,0.57010508003992943,5,0,0
logistic_grouped_pfi,B,B_logistic_grouped_pfi,0.5,A4,0.38783599508060806,0.37701334652018303,0.39700781930102624,2,2,3
logistic_grouped_pfi,B,B_logistic_grouped_pfi,0.5,A5,0.33648865752143464,0.32705719116398813,0.34433959484138443,1,4,4
grouped_treeshap,A,A_grouped_treeshap,0.5,A1,0.36067121920901063,0.35119815858750125,0.36778765612243658,2,3,4
grouped_treeshap,A,A_grouped_treeshap,0.5,A2,0.40172109702578163,0.39659623970917801,0.40588206150623296,3,1,2
grouped_treeshap,A,A_grouped_treeshap,0.5,A3,0.51243743933661812,0.49413054384537386,0.52628166334543158,5,0,0
grouped_treeshap,A,A_grouped_treeshap,0.5,A4,0.40470679025721806,0.39752698141890536,0.41096973022555,4,1,2
grouped_treeshap,A,A_grouped_treeshap,0.5,A5,0.35119814201056598,0.34679092176405918,0.35487296533519386,1,3,4
grouped_treeshap,B,B_grouped_treeshap,0.5,A1,0.39020356287541458,0.38140134674281856,0.39622841991509539,2,2,3
grouped_treeshap,B,B_grouped_treeshap,0.5,A2,0.42521134301203034,0.41792973638151926,0.43115140997877299,4,1,1
grouped_treeshap,B,B_grouped_treeshap,0.5,A3,0.56631332498065889,0.55081434645517091,0.57787783675611282,5,0,0
grouped_treeshap,B,B_grouped_treeshap,0.5,A4,0.40371112439661305,0.39207376983553044,0.41343889821265634,3,2,3
grouped_treeshap,B,B_grouped_treeshap,0.5,A5,0.3438129431829855,0.33449152680247268,0.35168524080956731,1,4,4
